iter	Passed	Remaining
231	953	3157
232	957	3150
233	960	3143
234	963	3135
235	966	3128
236	969	3121
237	972	3113
238	975	3106
239	978	3099
240	981	3092
241	984	3085
242	988	3078
243	991	3071
244	994	3064
245	997	3057
246	1000	3050
247	1003	3043
248	1006	3036
249	1009	3029
250	1013	3023
251	1016	3016
252	1019	3009
253	1022	3002
254	1025	2996
255	1028	2989
256	1031	2982
257	1034	2976
258	1037	2969
259	1041	2962
260	1044	2957
261	1047	2951
262	1051	2945
263	1054	2939
264	1057	2933
265	1060	2926
266	1063	2920
267	1067	2914
268	1070	2908
269	1073	2902
270	1076	2896
271	1080	2890
272	1083	2885
273	1086	2879
274	1090	2873
275	1093	2867
276	1096	2861
277	1099	2855
278	1102	2849
279	1106	2844
280	1109	2838
281	1112	2833
282	1115	2827
283	1119	2821
284	1122	2815
285	1125	2809
286	1128	2803
287	1132	2798
288	1135	2793
289	1139	2788
290	1142	2783
291	1145	2777
292	1148	2771
293	1151	2764
294	1154	2759
295	1157	2754
296	1161	2749
297	1164	2743
298	1168	2739
299	1171	2734
300	1175	2729
301	1178	2723
302	1181	2718
303	1185	2714
304	1189	2709
305	1192	2704
306	1195	2699
307	1199	2694
308	1202	2689
309	1205	2684
310	1209	2679
311	1212	2674
312	1216	2669
313	1219	2663
314	1222	2659
315	1226	2654
316	1229	2649
317	1232	2644
318	1236	2638
319	1239	2633
320	1242	2628
321	1245	2623
322	1249	2618
323	1252	2613
324	1255	2608
325	1259	2603
326	1262	2598
327	1266	2593
328	1269	2588
329	1272	2583
330	1275	2578
331	1279	2574
332	1282	2569
333	1285	2563
334	1288	2558
335	1292	2553
336	1295	2548
337	1298	2543
338	1302	2539
339	1305	2534
340	1308	2529
341	1312	2525
342	1315	2520
343	1319	2515
344	1322	2511
345	1326	2506
346	1329	2501
347	1332	2497
348	1336	2492
349	1339	2487
350	1342	2483
351	1346	2478
352	1349	2473
353	1352	2468
354	1356	2463
355	1359	2459
356	1362	2454
357	1366	2450
358	1369	2445
359	1373	2441
360	1376	2436
361	1379	2431
362	1382	2426
363	1386	2422
364	1389	2417
365	1393	2413
366	1396	2408
367	1399	2403
368	1402	2398
369	1405	2393
370	1409	2388
371	1412	2383
372	1415	2379
373	1418	2374
374	1421	2369
375	1425	2365
376	1428	2360
377	1431	2356
378	1435	2351
379	1438	2346
380	1441	2342
381	1445	2338
382	1448	2333
383	1452	2329
384	1455	2324
385	1458	2320
386	1461	2315
387	1465	2311
388	1468	2306
389	1471	2301
390	1475	2297
391	1478	2292
392	1481	2288
393	1484	2283
394	1488	2279
395	1491	2274
396	1495	2270
397	1498	2266
398	1501	2262
399	1505	2257
400	1508	2253
401	1511	2248
402	1515	2244
403	1518	2240
404	1522	2236
405	1525	2231
406	1528	2227
407	1532	2223
408	1535	2218
409	1538	2214
410	1542	2210
411	1545	2205
412	1549	2201
413	1552	2197
414	1555	2193
415	1559	2188
416	1562	2184
417	1565	2180
418	1569	2176
419	1572	2171
420	1575	2167
421	1579	2163
422	1582	2158
423	1586	2154
424	1589	2151
425	1593	2147
426	1597	2143
427	1600	2138
428	1604	2135
429	1607	2130
430	1610	2126
431	1614	2122
432	1617	2118
433	1621	2114
434	1624	2110
435	1628	2106
436	1631	2102
437	1635	2097
438	1638	2093
439	1641	2089
440	1645	2085
441	1648	2081
442	1651	2076
443	1655	2072
444	1659	2069
445	1662	2065
446	1666	2061
447	1669	2057
448	1672	2052
449	1676	2049
450	1679	2044
451	1683	2040
452	1686	2036
453	1690	2032
454	1693	2028
455	1697	2024
456	1700	2020
457	1703	2016
458	1707	2012
459	1711	2008
460	1714	2004
461	1717	2000
462	1721	1996
463	1725	1992
464	1728	1988
465	1732	1984
466	1735	1980
467	1738	1976
468	1742	1972
469	1745	1968
470	1749	1964
471	1752	1960
472	1756	1956
473	1759	1952
474	1762	1948
475	1766	1944
476	1769	1940
477	1772	1936
478	1776	1932
479	1779	1927
480	1783	1923
481	1786	1919
482	1789	1915
483	1793	1911
484	1796	1907
485	1800	1903
486	1803	1899
487	1807	1896
488	1810	1891
489	1813	1887
490	1817	1883
491	1820	1879
492	1824	1875
493	1827	1871
494	1830	1867
495	1834	1864
496	1837	1859
497	1841	1856
498	1844	1851
499	1847	1847
500	1851	1843
501	1854	1839
502	1857	1835
503	1861	1831
504	1864	1827
505	1867	1823
506	1871	1819
507	1874	1815
508	1877	1811
509	1880	1806
510	1883	1802
511	1886	1798
512	1889	1794
513	1893	1789
514	1896	1785
515	1899	1781
516	1902	1777
517	1906	1774
518	1909	1770
519	1913	1765
520	1916	1761
521	1919	1757
522	1922	1753
523	1926	1749
524	1929	1745
525	1932	1741
526	1936	1737
527	1939	1733
528	1943	1730
529	1948	1727
530	1953	1725
531	1958	1722
532	1962	1719
533	1969	1718
534	1977	1718
535	1982	1716
536	1987	1713
537	1996	1714
538	2004	1714
539	2009	1711
540	2017	1712
541	2025	1711
542	2033	1711
543	2039	1709
544	2045	1707
545	2051	1705
546	2054	1701
547	2058	1698
548	2063	1695
549	2067	1691
550	2073	1689
551	2077	1685
552	2080	1682
553	2085	1679
554	2090	1675
555	2094	1672
556	2098	1669
557	2103	1665
558	2108	1663
559	2112	1660
560	2118	1657
561	2122	1654
562	2127	1651
563	2132	1648
564	2137	1645
565	2143	1643
566	2147	1639
567	2152	1636
568	2156	1633
569	2160	1629
570	2165	1626
571	2168	1622
572	2173	1619
573	2178	1616
574	2181	1612
575	2185	1609
576	2190	1605
577	2194	1602
578	2199	1598
579	2203	1595
580	2207	1592
581	2212	1588
582	2216	1585
583	2219	1581
584	2224	1578
585	2228	1574
586	2231	1570
587	2235	1566
588	2239	1562
589	2244	1559
590	2247	1555
591	2251	1551
592	2254	1547
593	2258	1543
594	2262	1540
595	2266	1536
596	2270	1532
597	2274	1528
598	2278	1525
599	2281	1521
600	2285	1517
601	2289	1513
602	2292	1509
603	2297	1506
604	2301	1502
605	2305	1498
606	2309	1494
607	2312	1490
608	2317	1487
609	2320	1483
610	2324	1480
611	2327	1475
612	2332	1472
613	2337	1469
614	2340	1465
615	2345	1461
616	2348	1457
617	2352	1453
618	2356	1450
619	2359	1446
620	2363	1442
621	2366	1438
622	2370	1434
623	2374	1430
624	2379	1427
625	2384	1424
626	2387	1420
627	2392	1417
628	2397	1414
629	2401	1410
630	2406	1407
631	2411	1404
632	2415	1400
633	2420	1397
634	2425	1394
635	2429	1390
636	2434	1387
637	2439	1384
638	2444	1380
639	2448	1377
640	2453	1373
641	2457	1370
642	2461	1366
643	2466	1363
644	2472	1360
645	2475	1356
646	2480	1353
647	2484	1349
648	2488	1346
649	2493	1342
650	2497	1338
651	2501	1334
652	2505	1331
653	2508	1327
654	2513	1323
655	2517	1320
656	2520	1316
657	2525	1312
658	2528	1308
659	2533	1304
660	2537	1301
661	2542	1297
662	2546	1294
663	2550	1290
664	2554	1286
665	2560	1284
666	2565	1280
667	2569	1277
668	2573	1273
669	2577	1269
670	2580	1265
671	2585	1261
672	2588	1257
673	2592	1254
674	2596	1250
675	2600	1246
676	2605	1243
677	2612	1240
678	2616	1236
679	2620	1233
680	2626	1230
681	2631	1226
682	2635	1223
683	2641	1220
684	2647	1217
685	2659	1217
686	2666	1214
687	2671	1211
688	2677	1208
689	2684	1205
690	2691	1203
691	2696	1200
692	2708	1199
693	2715	1197
694	2720	1193
695	2725	1190
696	2731	1187
697	2736	1183
698	2742	1180
699	2749	1178
700	2754	1175
701	2761	1172
702	2767	1169
703	2773	1165
704	2777	1162
705	2782	1158
706	2788	1155
707	2793	1152
708	2797	1148
709	2803	1145
710	2809	1141
711	2815	1138
712	2822	1135
713	2827	1132
714	2832	1128
715	2837	1125
716	2842	1122
717	2848	1118
718	2853	1115
719	2859	1111
720	2865	1108
721	2870	1105
722	2880	1103
723	2889	1101
724	2896	1098
725	2903	1095
726	2909	1092
727	2916	1089
728	2923	1086
729	2929	1083
730	2934	1079
731	2938	1076
732	2943	1072
733	2948	1068
734	2952	1064
735	2957	1060
736	2962	1057
737	2966	1053
738	2970	1049
739	2975	1045
740	2979	1041
741	2983	1037
742	2988	1033
743	2993	1029
744	2997	1026
745	3001	1022
746	3005	1018
747	3010	1014
748	3016	1010
749	3020	1006
750	3024	1002
751	3029	999
752	3033	995
753	3037	991
754	3042	987
755	3046	983
756	3050	979
757	3055	975
758	3059	971
759	3063	967
760	3069	963
761	3073	960
762	3078	956
763	3083	952
764	3086	948
765	3091	944
766	3096	940
767	3100	936
768	3104	932
769	3108	928
770	3112	924
771	3116	920
772	3120	916
773	3124	912
774	3129	908
775	3132	904
776	3136	900
777	3140	896
778	3144	892
779	3148	888
780	3152	883
781	3156	880
782	3160	875
783	3164	871
784	3168	867
785	3172	863
786	3176	859
787	3179	855
788	3184	851
789	3187	847
790	3191	843
791	3194	839
792	3198	834
793	3201	830
794	3204	826
795	3207	822
796	3210	817
797	3214	813
798	3217	809
799	3220	805
800	3223	800
801	3226	796
802	3229	792
803	3233	788
804	3236	783
805	3239	779
806	3242	775
807	3245	771
808	3249	767
809	3252	762
810	3255	758
811	3258	754
812	3261	750
813	3264	746
814	3267	741
815	3271	737
816	3274	733
817	3277	729
818	3280	724
819	3283	720
820	3286	716
821	3289	712
822	3292	708
823	3296	704
824	3299	699
825	3302	695
826	3305	691
827	3308	687
828	3312	683
829	3315	679
830	3318	674
831	3321	670
832	3324	666
833	3327	662
834	3330	658
835	3333	654
836	3336	649
837	3340	645
838	3343	641
839	3346	637
840	3349	633
841	3352	629
842	3355	624
843	3358	620
844	3361	616
845	3365	612
846	3368	608
847	3371	604
848	3374	600
849	3377	596
850	3380	591
851	3384	587
852	3387	583
853	3390	579
854	3393	575
855	3396	571
856	3399	567
857	3403	563
858	3406	559
859	3409	555
860	3412	550
861	3415	546
862	3418	542
863	3422	538
864	3425	534
865	3428	530
866	3431	526
867	3434	522
868	3437	518
869	3440	514
870	3444	510
871	3447	506
872	3450	501
873	3453	497
874	3456	493
875	3460	489
876	3463	485
877	3466	481
878	3469	477
879	3472	473
880	3475	469
881	3479	465
882	3482	461
883	3485	457
884	3488	453
885	3491	449
886	3495	445
887	3498	441
888	3501	437
889	3504	433
890	3508	429
891	3511	425
892	3514	421
893	3517	417
894	3520	413
895	3523	409
896	3527	405
897	3530	401
898	3533	397
899	3537	393
900	3540	388
901	3543	384
902	3546	380
903	3549	376
904	3552	372
905	3556	368
906	3559	364
907	3562	360
908	3565	356
909	3569	352
910	3572	348
911	3575	345
912	3578	341
913	3581	337
914	3585	333
915	3588	329
916	3591	325
917	3594	321
918	3597	317
919	3600	313
920	3604	309
921	3607	305
922	3610	301
923	3613	297
924	3616	293
925	3619	289
926	3623	285
927	3626	281
928	3629	277
929	3633	273
930	3636	269
931	3639	265
932	3642	261
933	3645	257
934	3649	253
935	3652	249
936	3655	245
937	3658	241
938	3661	237
939	3664	233
940	3667	229
941	3671	226
942	3674	222
943	3677	218
944	3680	214
945	3684	210
946	3687	206
947	3690	202
948	3694	198
949	3697	194
950	3700	190
951	3704	186
952	3707	182
953	3710	178
954	3713	174
955	3717	171
956	3720	167
957	3723	163
958	3726	159
959	3729	155
960	3733	151
961	3736	147
962	3739	143
963	3742	139
964	3746	135
965	3749	131
966	3752	128
967	3755	124
968	3759	120
969	3762	116
970	3765	112
971	3769	108
972	3772	104
973	3775	100
974	3779	96
975	3782	93
976	3785	89
977	3789	85
978	3792	81
979	3795	77
980	3799	73
981	3802	69
982	3805	65
983	3808	61
984	3812	58
985	3815	54
986	3818	50
987	3822	46
988	3825	42
989	3828	38
990	3831	34
991	3835	30
992	3838	27
993	3841	23
994	3845	19
995	3848	15
996	3851	11
997	3854	7
998	3857	3
999	3860	0
